Account,date,daily_pnl,win_rate,avg_trade_size,trade_count,avg_leverage,long_short_ratio,classification,leverage_segment,activity_segment,consistency_segment,profit_flag
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,0.0,5089.718248587571,177,5089.718248587571,-0.9999999943502825,Extreme Greed,High,High,Inconsistent,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,0.0,7976.664411764705,68,7976.664411764705,-0.9999999852941179,Extreme Greed,High,High,Inconsistent,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,0.0,23734.5,40,23734.5,-0.9999999750000007,Extreme Greed,High,High,Inconsistent,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,0.0,28186.666666666668,12,28186.666666666668,-0.9999999166666736,Extreme Greed,High,Low,Inconsistent,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,0.4444444444444444,17248.14814814815,27,17248.14814814815,-0.9999999629629643,Extreme Greed,High,Low,Inconsistent,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,0.0,16058.536341463414,82,16058.536341463414,-0.9999999878048782,Extreme Greed,High,High,Inconsistent,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,0.0,48561.68565217392,23,48561.68565217392,-0.999999956521741,Extreme Greed,High,Low,Inconsistent,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,0.0,36736.36242424243,33,36736.36242424243,-0.9999999696969707,Greed,High,High,Inconsistent,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,0.04946236559139785,11410.954021505377,465,11410.954021505377,-0.9999999978494624,Extreme Greed,High,High,Inconsistent,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,0.5490196078431373,9400.588039215687,51,9400.588039215687,-0.9999999803921573,Extreme Greed,High,High,Consistent,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,0.9,185847.0,10,185847.0,-0.99999990000001,Greed,High,Low,Consistent,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,0.30512514898688914,23593.019856972587,839,23593.019856972587,0.3611442188782548,Fear,High,High,Inconsistent,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,0.15630885122410546,10576.687156308852,531,10576.687156308852,-0.9999999981167609,Greed,High,High,Inconsistent,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,0.37142857142857144,26585.06338095238,210,26585.06338095238,-0.9999999952380952,Neutral,High,High,Inconsistent,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,0.9361702127659575,10161.056241134751,141,10161.056241134751,-0.9999999929078015,Neutral,High,High,Consistent,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,0.3333333333333333,32032.5,48,32032.5,-0.9999999791666672,Fear,High,High,Inconsistent,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,0.0,134600.00166666668,6,134600.00166666668,-0.9999998333333611,Neutral,High,Low,Inconsistent,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,0.5254237288135594,27178.041694915253,59,27178.041694915253,-0.9999999830508478,Neutral,High,High,Consistent,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,115445.395538,0.4246575342465753,13233.776894977169,219,13233.776894977169,-0.99999999543379,Fear,High,High,Inconsistent,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115287.0,0.01818181818181818,24958.908545454546,55,24958.908545454546,-0.9999999818181822,Extreme Fear,High,High,Inconsistent,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9482.221441,0.8,2985.797555555556,45,2985.797555555556,-0.9999999777777784,Extreme Fear,High,High,Consistent,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,0.8424336973478939,8371.136099843994,641,8371.136099843994,-0.9999999984399376,Fear,High,High,Consistent,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40200.0,0.8,79640.0,5,79640.0,-0.99999980000004,Neutral,High,Low,Consistent,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,307855.80341,1.0,21491.640322580646,31,21491.640322580646,-0.9999999677419364,Fear,High,High,Consistent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,11715.94323,0.8363636363636363,2469.9509090909087,55,2469.9509090909087,0.0,Extreme Greed,High,High,Consistent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,0.0,0.0,0.06,1,0.06,0.0,Extreme Greed,Low,Low,Inconsistent,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,0.0,0.0,1426.8700000000001,34,1426.8700000000001,0.0,Greed,Low,High,Inconsistent,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,3515.031065,0.9615384615384616,2001.101153846154,26,2001.101153846154,0.0,Extreme Greed,High,Low,Consistent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,0.0,0.0,1131.888695652174,46,1131.888695652174,0.0,Extreme Greed,Low,High,Inconsistent,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,2517.787385,0.984375,852.88625,64,852.88625,0.0,Extreme Greed,Low,High,Consistent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,1613.165903,0.2542372881355932,1913.523898305085,59,1913.523898305085,0.0,Extreme Greed,Low,High,Inconsistent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,0.0,0.0,0.11,1,0.11,0.0,Extreme Greed,Low,Low,Inconsistent,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,1245.51851,0.6176470588235294,10051.199411764705,34,10051.199411764705,0.9999999705882362,Greed,High,High,Consistent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,0.0,0.0,2845.9646153846156,13,2845.9646153846156,0.0,Greed,High,Low,Inconsistent,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,4493.232479,1.0,2440.6282352941175,17,2440.6282352941175,0.0,Extreme Greed,High,Low,Consistent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,1047.030992,0.717948717948718,2154.3915384615384,39,2154.3915384615384,0.0,Extreme Greed,High,High,Consistent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,4842.054317,0.6451612903225806,2194.294758064516,124,2194.294758064516,0.0,Extreme Greed,High,High,Consistent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,1693.493165,0.584070796460177,1737.369557522124,339,1737.369557522124,0.0,Extreme Greed,Low,High,Consistent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,4221.156399,0.07407407407407407,2398.331666666667,54,2398.331666666667,0.0,Extreme Greed,High,High,Inconsistent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,0.0,0.0,1519.465681818182,44,1519.465681818182,0.0,Greed,Low,High,Inconsistent,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,6899.2458320000005,1.0,1317.0667857142857,56,1317.0667857142857,0.0,Greed,Low,High,Consistent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,0.0,0.0,1602.9452173913044,46,1602.9452173913044,0.0,Greed,Low,High,Inconsistent,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,7372.485101,1.0,1474.6896363636365,55,1474.6896363636365,0.0,Greed,Low,High,Consistent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-01,1162.002541,0.32051282051282054,2094.719358974359,78,2094.719358974359,0.0,Greed,High,High,Inconsistent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,6352.452613,0.4506769825918762,2792.42166344294,517,2792.42166344294,0.9999999894736844,Greed,High,High,Inconsistent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-11,-12346.990829,0.0,612.1092741935485,124,612.1092741935485,0.0,Neutral,Low,High,Inconsistent,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,355.5854,0.7987421383647799,2687.4032704402516,159,2687.4032704402516,0.9999999936708861,Neutral,High,High,Consistent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-24,1129.8489260000001,0.325,1641.2224999999999,160,1641.2224999999999,0.0,Neutral,Low,High,Inconsistent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-25,-6820.76955,0.0,82910.81,1,82910.81,0.0,Fear,High,Low,Inconsistent,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-28,0.0,0.0,1462.824423076923,52,1462.824423076923,0.0,Extreme Fear,Low,High,Inconsistent,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,2480.902379,0.45454545454545453,1999.099181818182,110,1999.099181818182,0.0,Fear,High,High,Inconsistent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,-3169.3554679999997,0.0,1756.5103076923076,65,1756.5103076923076,0.0,Extreme Fear,Low,High,Inconsistent,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-07,0.0,0.0,1499.4978378378378,37,1499.4978378378378,0.0,Fear,Low,High,Inconsistent,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-08,2099.019688,1.0,1225.1170212765958,47,1225.1170212765958,0.0,Fear,Low,High,Consistent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-09,656.540742,0.8769230769230769,2676.518153846154,65,2676.518153846154,0.0,Fear,High,High,Consistent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-10,-1065.797583,0.9622641509433962,3326.2756603773582,53,3326.2756603773582,0.0,Extreme Fear,High,High,Consistent,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-12,1591.753271,0.9811320754716981,2184.328113207547,53,2184.328113207547,0.0,Fear,High,High,Consistent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-13,-2315.377191,0.0,4259.311481481482,27,4259.311481481482,0.0,Neutral,High,Low,Inconsistent,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-28,0.0,0.0,1460.115,42,1460.115,0.0,Fear,Low,High,Inconsistent,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-29,-5018.466447,0.0,580.479381443299,97,580.479381443299,0.0,Fear,Low,High,Inconsistent,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-31,716.143949,0.535483870967742,730.8744516129032,155,730.8744516129032,0.0,Fear,Low,High,Consistent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,0.0,0.0,54768.6,1,54768.6,0.0,Fear,High,Low,Inconsistent,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-15,0.0,0.0,16.37,1,16.37,0.0,Fear,Low,Low,Inconsistent,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-16,-95.985744,0.011363636363636364,780.4484090909092,88,780.4484090909092,0.0,Fear,Low,High,Inconsistent,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-17,-133.41237,0.16,730.92608,125,730.92608,0.39199999686400006,Fear,Low,High,Inconsistent,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-18,951.934443,0.43686502177068215,766.7829027576198,689,766.7829027576198,-0.9999999976525822,Fear,Low,High,Inconsistent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-19,371.503,0.7226277372262774,552.0850851581508,411,552.0850851581508,-0.999999989130435,Fear,Low,High,Consistent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-20,-1892.58947,0.4129353233830846,963.6022222222223,603,963.6022222222223,-0.9999999945945947,Fear,Low,High,Inconsistent,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-21,3434.689308,1.0,887.6931958762888,97,887.6931958762888,0.0,Fear,Low,High,Consistent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-23,2654.14315,0.5915492957746479,2593.2515492957746,568,2593.2515492957746,0.6302816890311942,Greed,High,High,Consistent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-24,1867.252909,0.48970588235294116,1679.7829852941175,680,1679.7829852941175,0.5558823521237024,Greed,Low,High,Inconsistent,1
